Incident Number w/year,Year of Incident,Call (911) Problem,Type of Incident,Type  Location,Type of Property,Reporting Area,Division,Sector,Year of Occurrence,Month of Occurence,Person Involvement Type,Victim Type,Victim Gender,UCR Disposition,Modus Operandi (MO),Weapon Used,NIBRS Crime,NIBRS Crime Category,NIBRS Crime Against,Zip Code,City,State
244797-2019,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Apartment Parking Lot,Parking Lot,6014,NORTHEAST,210,2019,December,Victim,Individual,Male,CBA (Over Age 17),UNK SUSP STOLE COMP'S MOTOR SCOOTER BY UNK MEANS,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75231,DALLAS,TX
142013-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,Outdoor Area Public/Private,Motor Vehicle,2025,CENTRAL,150,2022,August,Victim,Individual,Female,Suspended,UNK SUSP BROKE WINDOW AND THEN STOLE PROPERTY WITHOUT CONSENT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75204,DALLAS,TX
172406-2021,2023,PSE/11V - BURG MOTOR VEH,BMV,"Highway, Street, Alley ETC",Motor Vehicle,1102,NORTHEAST,220,2021,September,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT ENTERED LOCKED CAR W/O CONSENT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75228,DALLAS,TX
278782-2018,2023,11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,3067,NORTHWEST,520,2018,December,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT TOOK COMP PROPERTY W/OUT CONSENT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75220,DALLAS,TX
079204-2021,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,Outdoor Area Public/Private,1195,CENTRAL,110,2020,July,Victim,Individual,Female,Suspended,UNK SUSP TOOK THE COMP'S VEH WITHOUT PERMISSION,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75223,DALLAS,TX
167499-2018,2023,19 - SHOOTING,ROBBERY OF INDIVIDUAL (AGG),Apartment Parking Lot,Parking Lot,3058,NORTHWEST,530,2018,July,Victim,Individual,Male,Suspended,UNK SUSPS ATT TO TAKE COMPS VEH AND SHOT COMP.,Handgun,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75220,DALLAS,TX
224697-2021,2023,PSE/11V - BURG MOTOR VEH,BMV,"Highway, Street, Alley ETC",Motor Vehicle,3096,NORTHWEST,520,2021,November,Victim,Individual,Male,Suspended,UNKN SUSP ENTERED LOCKED GMC SIERRA W/O DAMAGE REMOVING PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75209,DALLAS,TX
167932-2021,2023,11V/01 - BURG MOTOR VEH,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Parking (Business),None,4524,NORTHEAST,210,2021,September,Victim,Individual,Female,Suspended,UNKNOWN SUSP REMOVED CATALYTIC CONVERTERS FROM COMPS VEHICLE.,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75231,DALLAS,TX
041479-2018,2023,11R - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,Apartment Residence,None,1042,NORTHEAST,250,2018,February,Victim,Individual,Female,Suspended,UNK SUSP ENTERED COMP'S APT AND TOOK PROP W/OUT PERMISSION,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75243,DALLAS,TX
175870-2021,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Apartment Parking Lot,Parking Lot,9605,NORTHEAST,250,2021,September,Victim,Individual,Female,Suspended,SUSPECT TOOK VEHICLE FROM APARTMENT PARKING LOT,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75243,DALLAS,TX
043173-2018,2023,11R - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,Apartment Residence,Residential Property Occupied/Vacant,4263,SOUTHWEST,450,2018,February,Victim,Individual,Male,Suspended,UNK SUSP BROKE FRONT GLASS WINDOW ENTERED TOOK PROP W/O CONSENT,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75224,DALLAS,TX
167935-2021,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (All Others),Motor Vehicle,4543,SOUTHWEST,450,2021,September,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT TOOK COMP VEHICLE WITHOUT CONSENT,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75237,DALLAS,TX
098139-2020,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,"Highway, Street, Alley ETC",Motor Vehicle,3035,NORTHWEST,550,2020,June,Victim,Individual,Female,Suspended,SUSPECTS TOOK COMPS VEHICLE W/O CONSENT,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75229,DALLAS,TX
141170-2022,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,"Highway, Street, Alley ETC",Outdoor Area Public/Private,1136,NORTHEAST,220,2022,July,Victim,Individual,Male,Suspended,SUSPECT TOOK COMP VEHICLE FROM STREET WITHOUT CONSENT,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75228,DALLAS,TX
176625-2021,2023,11V - BURG MOTOR VEH,BMV,"Highway, Street, Alley ETC",Motor Vehicle,2034,CENTRAL,150,2021,September,Victim,Individual,Male,Suspended,UNK SUSP BROKE COMP WINDOW AND TOOK PROP WITHOUT CONSENT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75204,DALLAS,TX
143907-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Apartment Parking Lot,Motor Vehicle,6059,NORTH CENTRAL,610,2022,August,Victim,Individual,Male,Suspended,UNK SUSP STOLE THE CATALYTIC CONVERTER FROM VEHICLE W/O CONSENT,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75287,DALLAS,TX
142827-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,Parking (Business),Motor Vehicle,2031,CENTRAL,150,2022,August,Victim,Individual,Male,Suspended,COMP'S UNLOCKED VEHICLE ENTERED AND ITEMS REMOVED W/O PERMISSION,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75204,DALLAS,TX
