Incident Number w/year,Year of Incident,Call (911) Problem,Type of Incident,Type  Location,Type of Property,Reporting Area,Division,Sector,Year of Occurrence,Month of Occurence,Person Involvement Type,Victim Type,Victim Gender,UCR Disposition,Modus Operandi (MO),Weapon Used,NIBRS Crime,NIBRS Crime Category,NIBRS Crime Against,Zip Code,City,State
053950-2023,2023,09 - THEFT,"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",Apartment Complex/Building,Apartment Complex/Building,4060,SOUTHWEST,420,2023,March,Victim,Individual,Female,Suspended,UNK SUSP STOLE COMP'S PACKAGE W/OUT CONSENT,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75212,DALLAS,TX
037201-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Outdoor Area Public/Private,Motor Vehicle,9201,CENTRAL,130,2023,March,Victim,Individual,Male,Suspended,UNK SUSP ENTRD LOCKED BED COVER W/O DMGE & STOLE PROP W/O CNSNT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75202,DALLAS,TX
005955-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Apartment Parking Lot,Motor Vehicle,4523,NORTH CENTRAL,640,2022,January,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT REMOVED TIRES OFF VEHICLE W/O CONSENT,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75230,DALLAS,TX
219679-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,Parking (Business),Motor Vehicle,4055,SOUTHWEST,420,2022,December,Victim,Individual,Male,Suspended,UNKN SUSP KNOCKED OUT WINDOW TO ENTER LOCKED VEHICLE TOOK ITEMS,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75212,DALLAS,TX
041319-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Outdoor Area Public/Private,Motor Vehicle,4136,SOUTHWEST,440,2022,February,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT REMOVED FRONT LICENSE PLATE FROM VEHICLE,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75211,DALLAS,TX
001324-2023,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Apartment Parking Lot,Motor Vehicle,3103,NORTHWEST,540,2022,December,Victim,Individual,Female,Suspended,UNKN SUSP CUT OUT THE CONVERTER OF A JEEP LIBERTY W/O PERMISSION,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75219,DALLAS,TX
004383-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Apartment Parking Lot,Motor Vehicle,1017,NORTH CENTRAL,630,2022,January,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT REMOVED BACK LICENSE PLATES FROM VEHICLE,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75240,DALLAS,TX
029471-2023,2023,11B - BURG OF BUS,BURGLARY OF BUILDING - FORCED ENTRY,Storage Facility,Commercial Property Occupied/Vacant,4404,NORTH CENTRAL,620,2023,February,Victim,Individual,Male,Suspended,"UNK SUSP CUT COMP'S LOCK, TOOK PROPERTY W/O PERMISSION",Handgun,BURGLARY-BUSINESS,BURGLARY/ BREAKING & ENTERING,PROPERTY,75252,DALLAS,TX
217247-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,1132,NORTHEAST,220,2022,December,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT BROKE WINDOW AND STOLE WALLET WITHOUT CONSENT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75228,DALLAS,TX
028822-2023,2023,11R/01 - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,Apartment Residence,Residential Property Occupied/Vacant,1042,NORTHEAST,250,2023,February,Victim,Individual,Male,Suspended,UNK SUSP ENTERED COMP'S RESIDENCE AND TOOK PROP W/O PERMISSION,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75243,DALLAS,TX
033929-2023,2023,PSE/09 - THEFT,"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",Construction Site,Other,4147,SOUTH CENTRAL,710,2023,February,Victim,Individual,Male,Suspended,COMP'S PROPERTY REMOVED FROM LOCATION W/O PERMISSION,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75203,DALLAS,TX
018529-2023,2023,11R/01 - BURG OF RES,BURGLARY - PRELIMINARY INVESTIGATION,Apartment Residence,Apartment Complex/Building,9610,NORTHEAST,230,2023,February,Victim,Individual,Male,Suspended,UNK SUSP FORCES ENTRY INTO APT UNIT AND TAKES PROPERTY,Handgun,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,75238,DALLAS,TX
009229-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,Outdoor Area Public/Private,Motor Vehicle,4258,SOUTHWEST,450,2022,January,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT REMOVED TAIL GATE,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75233,DALLAS,TX
064108-2019,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,4360,SOUTH CENTRAL,740,2019,March,Victim,Individual,Male,Suspended,UNKN SUSP ENTERED LOCKED 2011 FORD W/O DAMAGE SEARCHING INSIDE,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75237,DALLAS,TX
036412-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,1069,NORTHEAST,240,2023,March,Victim,Individual,Male,Suspended,"UNKN SUSP BROKE THE WINDOW, ENTERED VEHICLE SEARCH THE INTERIOR.",Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75238,DALLAS,TX
194152-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)","Highway, Street, Alley ETC",Motor Vehicle,2205,SOUTHEAST,330,2022,October,Victim,Individual,Male,Suspended,UNKN SUSPECT REMOVED CATALYTIC CONVERTER & O2 FROM LISTED TRUCK,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75217,DALLAS,TX
207681-2022,2023,11R - BURG OF RES,BMV,Condominium/Townhome Building,Residential Property Occupied/Vacant,6028,NORTHEAST,230,2022,November,Victim,Individual,Female,Suspended,UNK. SUSP. TOOK COMPS PROPERTY WITHOUT AUTHORIZATION.,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75214,DALLAS,TX
028709-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Outdoor Area Public/Private,Residential Property Occupied/Vacant,1258,NORTHEAST,220,2017,February,Victim,Individual,Female,Suspended,UNKNOWN SUSP TOOK COMP'S VEHICLE WITHOUT PERMISSION.,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75228,DALLAS,TX
034401-2023,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Apartment Complex/Building,Apartment Complex/Building,4527,NORTHEAST,210,2023,February,Victim,Individual,Male,Suspended,UUMV OF LOCKED PU TRUCK,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75231,DALLAS,TX
004144-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Apartment Parking Lot,Motor Vehicle,1090,NORTHEAST,230,2022,January,Victim,Individual,Male,Suspended,UNK SUSP TOOK LP FROM VICT'S VEH,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75238,DALLAS,TX
032635-2023,2023,PSE/09 - THEFT,"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",Single Family Residence - Occupied,Outdoor Area Public/Private,4311,SOUTHWEST,430,2023,February,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT STOLE PACKAGE FROM FRONT PORCH W/O CONSENT,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75236,DALLAS,TX
034719-2023,2023,11R - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,Apartment Residence,Apartment Complex/Building,1042,NORTHEAST,250,2023,February,Victim,Individual,Female,Suspended,"UNK SUSPECT BROKE COMPS WINDOW, ENTERED AND TOOK PROPERTY",Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75243,DALLAS,TX
022619-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),Apartment Parking Lot,Motor Vehicle,4262,SOUTHWEST,450,2022,February,Victim,Individual,Female,Suspended,UNK SUSP TOOK THE COMPLAINANTS CATALYTIC CONVERTER.,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75224,DALLAS,TX
167972-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Apartment Parking Lot,Motor Vehicle,4403,NORTH CENTRAL,610,2022,February,Victim,Individual,Male,Suspended,UNK SUSP TOOK THE COMPLAINANT PROPERTY WITHOUT PERMISSION.,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75287,DALLAS,TX
235415-2021,2023,32 - SUSPICIOUS PERSON,BMV,Apartment Complex/Building,Parking Lot,4254,SOUTHWEST,430,2021,December,Victim,Individual,Male,CBA (Over Age 17),A/P OPENED UNLOCKED CAR DOOR AND TOOK COMP'S PROPERTY W/O PERM.,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75236,DALLAS,TX
177286-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Parking (Business),Motor Vehicle,4529,NORTHEAST,210,2022,August,Victim,Individual,Male,Suspended,UNKN SUSPECT REMOVED THE CATALYTIC CONVERTER,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75231,DALLAS,TX
227922-2022,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (All Others),Parking Lot,1008,NORTH CENTRAL,630,2022,December,Victim,Individual,Female,Suspended,UNK SUSP TOOK COMP'S VEHICLE WITHOUT CONSENT.,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75240,DALLAS,TX
038821-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,3124,NORTHWEST,510,2023,March,Victim,Individual,Male,Suspended,UNK SUSP ENTERED THE COMPLAINANTS VEHICLE AND REMOVED PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75207,DALLAS,TX
034360-2023,2023,11R - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,Single Family Residence - Occupied,Residential Property Occupied/Vacant,4299,SOUTH CENTRAL,720,2023,February,Victim,Individual,Male,Suspended,UNK SUSP FORCED ENTRY AND TOOK PROPERTY W/O PERMISSION,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75216,DALLAS,TX
038597-2023,2023,PSE/09 - THEFT,LOST PROPERTY (NO OFFENSE),Parking (Business),Outdoor Area Public/Private,2112,SOUTHEAST,340,2023,March,Victim,Individual,Female,Suspended,UNK SUSP STOLE COMPS WALKER AND PURSE WHILE SHE WASN'T LOOKING,Handgun,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,75210,DALLAS,TX
038659-2023,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),"Highway, Street, Alley ETC",Motor Vehicle,1027,NORTH CENTRAL,640,2023,March,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT REMOVED PROPERTY,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75251,DALLAS,TX
031996-2023,2023,09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Apartment Parking Lot,Motor Vehicle,1132,NORTHEAST,220,2023,February,Victim,Individual,Male,Suspended,SUSPECT(S) CUT AND STOLE COMPL'S CATALYIC CONVERTER FROM HIS VEH.,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75228,DALLAS,TX
036429-2023,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),Apartment Parking Lot,Motor Vehicle,1180,NORTHEAST,220,2023,March,Victim,Individual,Female,Suspended,COMP'S CATALYTIC CONVERTER REMOVED FROM VEHICLE W/O PERMISSION,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75228,DALLAS,TX
037056-2023,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Outdoor Area Public/Private,Motor Vehicle,4137,SOUTHWEST,440,2023,March,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT STOLE REAR LICENSE PLATE FROM VEHICLE W/O CONSENT,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75208,DALLAS,TX
037681-2022,2023,41/09 - THEFT - IN PROGRESS,THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),Apartment Complex/Building,Motor Vehicle,1158,CENTRAL,120,2022,March,Victim,Individual,Male,Open,UNK SUSP ATTP BREAK AND ENTER A PART CONN TO VEH W/O OWN CONSENT,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75205,DALLAS,TX
208880-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Apartment Parking Lot,Motor Vehicle,4227,SOUTH CENTRAL,710,2022,November,Victim,Individual,Male,Suspended,COMP'S FRONT LICENSE PLATE REMOVED FROM VEHICLE W/O PERMISSION,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75216,DALLAS,TX
033694-2023,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Single Family Residence - Occupied,Other,2217,SOUTHEAST,330,2023,February,Victim,Individual,Male,Suspended,UNK SUSPECT TOOK COMPS VEHICLE W/O CONSENT.,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75217,DALLAS,TX
207578-2022,2023,PSE/11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Parking (Business),Motor Vehicle,1216,SOUTHEAST,310,2022,November,Victim,Individual,Male,Suspended,UNKN SUSP ENTERED UNLOCKED CHEVY TAHOE BREAKING THE COLUMN/SWITCH,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75228,DALLAS,TX
034865-2023,2023,PSE/11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Apartment Parking Lot,Motor Vehicle,2016,CENTRAL,150,2023,February,Victim,Individual,Male,Suspended,UNK SUSP DAMAGED THE COMPLAINANTS STEERING COLUMN.,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75204,DALLAS,TX
002955-2017,2023,09 - THEFT,THEFT OF PROP > OR EQUAL $100 BUT <$750- NOT SHOPLIFT,Outdoor Area Public/Private,Residential Property Occupied/Vacant,3067,NORTHWEST,520,2017,January,Victim,Individual,Female,Suspended,SUSPECT TOOK LISTED ITEMS OFF COMPS APARTMENT PORCH.,Other,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75220,DALLAS,TX
045116-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,1158,CENTRAL,120,2022,March,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT REMOVED PROPERTY FROM THE LISTED VEHICLE,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75205,DALLAS,TX
037929-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Apartment Parking Lot,Motor Vehicle,4393,SOUTHWEST,450,2022,March,Victim,Individual,Female,Suspended,UNK SUSP STOLE THE CATALYTIC CONVERTER FROM VEHICLE W/OUT CONSENT,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75232,DALLAS,TX
011318-2022,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Outdoor Area Public/Private,Motor Vehicle,1246,SOUTHEAST,320,2022,January,Registered Owner,Individual,Female,Suspended,UNK SUSP ATTEMPTED TO TAKE COMPS PICKUP TRUCK,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75217,DALLAS,TX
009454-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Apartment Parking Lot,Motor Vehicle,1052,NORTH CENTRAL,650,2022,January,Victim,Individual,Female,Suspended,UNK SUSPECT STOLE BACK LICENSE PLATE FROM VEHICLE WITHOUT CONSENT,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75231,DALLAS,TX
022654-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Parking (Business),Motor Vehicle,1061,NORTH CENTRAL,650,2022,February,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT REMOVED TAILGATE FROM TRUCK WITHOUT CONSENT,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75231,DALLAS,TX
030214-2023,2023,PSE/09 - THEFT,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Commercial Property Occupied/Vacant,Commercial Property Occupied/Vacant,2180,SOUTHEAST,340,2023,February,Victim,Individual,Male,Suspended,COMP'S PROPERTY REMOVED FROM LOCATION W/O PERMISSION,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75215,DALLAS,TX
034304-2023,2023,09V-01 UUMV JUST OCRD,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Apartment Parking Lot,None,1042,NORTHEAST,250,2023,February,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMPS MOTORCYCLE W/O PERMISSION,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75243,DALLAS,TX
026108-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Apartment Parking Lot,Motor Vehicle,4225,SOUTH CENTRAL,720,2022,February,Victim,Individual,Male,Suspended,"UNK SUSP STOLE TAILGATE, CATALYTIC CONVERTER & SCRATCHD WNDSHIELD",Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75216,DALLAS,TX
025868-2023,2023,41/20 - ROBBERY - IN PROGRESS,THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),Specialty Store (In a Specific Item),Retail Store,3007,NORTHWEST,550,2023,February,Victim,Individual,Female,Suspended,SUSP TOOK COMP'S PROPERTY & ASSAULTED R/P WHILE FLEEING,Personal Weapons (Hands-Feet ETC),SHOPLIFTING,LARCENY/ THEFT OFFENSES,PROPERTY,75244,DALLAS,TX
038661-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Condominium/Townhome Parking,Medical Facility,6059,NORTH CENTRAL,610,2023,March,Victim,Individual,Male,Suspended,UNKN SUSP ENTERED LOCKED VEHICLE W/O DAMAGE REMOVING PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75287,DALLAS,TX
220723-2022,2023,20 - ROBBERY,ROBBERY OF INDIVIDUAL (AGG),Single Family Residence - Occupied,Other,1246,SOUTHEAST,320,2022,December,Victim,Individual,Male,Suspended,UNK SUSPS ENTERED RESIDENCE W/O CONSENT AND STOLE ITEMS FROM COMP,Handgun,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75227,DALLAS,TX
011289-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),Apartment Parking Lot,Motor Vehicle,3103,NORTHWEST,540,2022,January,Victim,Individual,Female,Suspended,UNKN SUSP REMOVED A TIRE/RIM OFF CHEVY IMPALA,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75219,DALLAS,TX
021510-2022,2023,11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,1243,SOUTHEAST,320,2022,February,Victim,Individual,Male,Suspended,UNKN SUSP FORCED ENTRY INTO COMP'S CAR AND STOLE BELONGINGS,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75227,DALLAS,TX
025370-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Apartment Parking Lot,Motor Vehicle,1073,NORTHEAST,240,2022,February,Victim,Individual,Male,Suspended,UNKN SUSP REMOVED THE TIRES AND RIMS OFF THE CHEVY,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75231,DALLAS,TX
011403-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),Parking (Business),Motor Vehicle,3058,NORTHWEST,530,2022,January,Victim,Individual,Male,Suspended,UNKN SUSP REMOVED THE TIRE/RIM OFF THE REAR MOUNT OF THE JEEP.,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75220,DALLAS,TX
016201-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),Apartment Parking Lot,Motor Vehicle,4327,SOUTH CENTRAL,730,2022,January,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMP'S PROPERTY W/O PERMISSION.,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75216,DALLAS,TX
147278-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (EMP) PC31.03(e2A),Parking (Business),Motor Vehicle,3024,NORTHWEST,530,2022,August,Victim,Individual,Female,Suspended,UNKN SUSPECT REMOVED THE CATALYTIC CONVERTER FROM THE LISTED SUV,Handgun,EMBEZZELMENT,EMBEZZELMENT,PROPERTY,75229,DALLAS,TX
074663-2019,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Parking (Business),Motor Vehicle,2047,CENTRAL,130,2019,April,Victim,Individual,Female,Suspended,UNK SUSP BROKE INTO AND TOOK COMP'S VEHICLE W/O PERMISSION,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75202,DALLAS,TX
186654-2022,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,School - College/University,Outdoor Area Public/Private,4242,SOUTH CENTRAL,720,2022,October,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT TOOK COMP VEHICLE WITHOUT PERMISSION,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75224,DALLAS,TX
193680-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,Commercial Property Occupied/Vacant,Motor Vehicle,6008,NORTH CENTRAL,620,2022,October,Victim,Individual,Female,Suspended,UNK SUSP ENTERED COMP'S VEH W/O PERMISSION AND TOOK PROPERTY.,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75252,DALLAS,TX
020409-2023,2023,11R - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,Apartment Complex/Building,Other,1038,NORTHEAST,240,2023,January,Victim,Individual,Male,Suspended,UNK SUSP ENTERED COMPS DETACHED GARAGE AND TOOK PROP W/O CONSENT.,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75231,DALLAS,TX
193992-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Outdoor Area Public/Private,Motor Vehicle,6007,NORTH CENTRAL,610,2022,October,Victim,Individual,Male,Suspended,UNKN SUSP REMOVED THE RIGHT/LEFT TAILLIGHT ASSEMBLY,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75287,DALLAS,TX
038351-2023,2023,11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Apartment Complex/Building,4403,NORTH CENTRAL,610,2023,March,Victim,Individual,Female,Suspended,UNK SUSP ENTERED COMP'S VEHICLE AND TOOK PROP W/O CONSENT.,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75287,DALLAS,TX
202317-2021,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Apartment Parking Lot,Motor Vehicle,3043,NORTHWEST,530,2021,November,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT REMOVED BOTH LICENSE PLATES FRM VEH W/O CONSENT,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75220,DALLAS,TX
035056-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,4119,SOUTHWEST,410,2023,February,Victim,Individual,Female,Suspended,UNK SUSP ENTRD CAR W/O DAMAGE & STOLE PROPERTY W/O CONSENT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75208,DALLAS,TX
