Class,Incident#,Crime,Date/Time,Location Name,Address,Agency
Robbery - Individual,24038826,Robbery,02/27/2024 02:38 PM,Highway/road/alley/street/sidewalk,"Frame St, Denton, Tx 76209",Denton Police Department (Tx)
Shoplifting,24070627,Shoplifting,04/13/2024 12:18 PM,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24070593,Shoplifting,04/13/2024 10:30 AM,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24070161,Shoplifting,04/12/2024 08:50 PM,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24069905,Shoplifting,04/12/2024 02:30 PM,Liquor Store,"3xx Hickory St, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24069892,Shoplifting,04/12/2024 02:27 PM,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24069934,Shoplifting,04/11/2024 04:00 PM,Specialty Store,"26xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24069916,Shoplifting,04/10/2024 08:43 AM,Department/discount Store,"2800xx 35, Denton, Tx 76210",Denton Police Department (Tx)
Shoplifting,24069303,Shoplifting,04/09/2024 07:57 PM,Drug Store/doctors Office/hospital,"1xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24067958,Shoplifting,04/09/2024 05:30 PM,Grocery/supermarket,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24069293,Shoplifting,04/08/2024 08:24 PM,Drug Store/doctors Office/hospital,"1xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24067218,Shoplifting,04/08/2024 06:35 PM,Grocery/supermarket,"18xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24067173,Shoplifting,04/08/2024 04:55 PM,Grocery/supermarket,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24067121,Shoplifting,04/08/2024 03:29 PM,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24068134,Shoplifting,04/05/2024 03:28 PM,Specialty Store,"22xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24065079,Shoplifting,04/05/2024 12:37 PM,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24065029,Shoplifting,04/05/2024 11:13 AM,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24066984,Shoplifting,04/03/2024 08:53 PM,Specialty Store,"29xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24063697,Shoplifting,04/03/2024 04:17 PM,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24062882,Shoplifting,04/02/2024 02:49 PM,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24062729,Shoplifting,04/02/2024 10:30 AM,Specialty Store,"2800xx 35, Denton, Tx 76210",Denton Police Department (Tx)
Shoplifting,24062338,Shoplifting,04/01/2024 06:45 PM,Grocery/supermarket,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24062281,Shoplifting,04/01/2024 05:05 PM,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24061474,Shoplifting,03/31/2024 12:30 PM,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24061404,Shoplifting,03/31/2024 10:00 AM,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24061537,Shoplifting,03/31/2024 12:00 AM,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24062362,Shoplifting,03/29/2024 08:20 PM,Department/discount Store,"29xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24059775,Shoplifting,03/28/2024 05:24 PM,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24062032,Shoplifting,03/28/2024 03:51 PM,Specialty Store,"2201xx 35, Denton, Tx",Denton Police Department (Tx)
Shoplifting,24062051,Shoplifting,03/28/2024 07:55 AM,Department/discount Store,"18xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24059745,Shoplifting,03/27/2024 06:50 PM,Specialty Store,"26xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24056569,Shoplifting,03/21/2024 07:31 PM,Specialty Store,"12xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24054775,Shoplifting,03/21/2024 03:27 PM,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24057515,Shoplifting,03/20/2024 03:59 PM,Department/discount Store,"12xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24052634,Shoplifting,03/18/2024 03:00 PM,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24051998,Shoplifting,03/17/2024 05:42 PM,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24051923,Shoplifting,03/17/2024 03:01 PM,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24051867,Shoplifting,3/17/2024 12:40,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24051417,Shoplifting,3/16/2024 17:11,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24051428,Shoplifting,3/16/2024 16:44,Specialty Store,"18xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24051334,Shoplifting,3/16/2024 13:52,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24051310,Shoplifting,3/16/2024 12:30,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24051154,Shoplifting,3/16/2024 8:00,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24050857,Shoplifting,3/15/2024 19:34,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24050853,Shoplifting,3/15/2024 19:28,Grocery/supermarket,"26xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24050836,Shoplifting,3/15/2024 18:54,Shopping Mall,"18xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24050747,Shoplifting,3/15/2024 16:33,Grocery/supermarket,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24050728,Shoplifting,3/15/2024 15:56,Grocery/supermarket,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24050649,Shoplifting,3/15/2024 11:20,Specialty Store,"22xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24050597,Shoplifting,3/15/2024 11:10,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24049140,Shoplifting,3/13/2024 11:47,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24058630,Shoplifting,3/12/2024 19:47,Department/discount Store,"18xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24049040,Shoplifting,3/12/2024 19:00,Drug Store/doctors Office/hospital,"1xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24049758,Shoplifting,3/12/2024 18:30,Department/discount Store,"1xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24047939,Shoplifting,3/11/2024 18:24,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24047829,Shoplifting,3/11/2024 14:30,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24047766,Shoplifting,3/11/2024 12:31,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24047447,Shoplifting,3/10/2024 22:30,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24047412,Shoplifting,3/10/2024 22:29,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24054927,Shoplifting,3/10/2024 15:06,Grocery/supermarket,"5xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24047175,Shoplifting,3/10/2024 12:30,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24046036,Shoplifting,3/8/2024 15:38,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24054294,Shoplifting,3/5/2024 13:24,Drug Store/doctors Office/hospital,"1xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24043279,Shoplifting,3/4/2024 18:46,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24043241,Shoplifting,3/4/2024 17:31,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24043130,Shoplifting,3/4/2024 0:00,Grocery/supermarket,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24042429,Shoplifting,3/3/2024 14:57,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24054069,Shoplifting,3/3/2024 13:13,Specialty Store,"26xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24042223,Shoplifting,3/3/2024 8:44,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24041858,Shoplifting,3/2/2024 17:08,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24041641,Shoplifting,3/2/2024 11:30,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24041628,Shoplifting,3/2/2024 10:00,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24041065,Shoplifting,3/1/2024 0:00,Department/discount Store,"18xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24040982,Shoplifting,2/29/2024 0:00,Liquor Store,"18xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24038969,Shoplifting,2/27/2024 18:10,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Shoplifting,24037405,Shoplifting,2/25/2024 21:24,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24054284,Shoplifting,2/25/2024 18:09,Department/discount Store,"18xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24038681,Shoplifting,2/25/2024 17:02,Department/discount Store,"18xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24036772,Shoplifting,2/24/2024 20:01,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24036687,Shoplifting,2/24/2024 17:00,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24036651,Shoplifting,2/24/2024 16:00,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24036107,Shoplifting,2/23/2024 18:07,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24036050,Shoplifting,2/23/2024 16:18,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24054147,Shoplifting,2/22/2024 20:31,Department/discount Store,"18xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Shoplifting,24049274,Shoplifting,2/21/2024 17:40,Department/discount Store,"12xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24072847,Other Larceny,4/16/2024 19:00,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24072783,Other Larceny,4/16/2024 16:35,Specialty Store,"26xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24072456,Other Larceny,4/16/2024 8:26,Grocery/supermarket,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24072085,Other Larceny,4/15/2024 15:55,Department/discount Store,"16xx Mckinney St, Denton, Tx 76209",Denton Police Department (Tx)
Theft,24071926,Other Larceny,4/15/2024 12:14,Grocery/supermarket,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24072046,Other Larceny,4/15/2024 10:00,Other/unknown,"19xx Brinker Rd, Denton, Tx 76208",Denton Police Department (Tx)
Theft,24072788,Pocket-picking,4/15/2024 8:00,Other/unknown,"2xx Inman St, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24071520,Other Larceny,4/14/2024 21:30,Residence/home,"3200xx 35, Denton, Tx 76210",Denton Police Department (Tx)
Theft,24071407,Other Larceny,4/14/2024 16:40,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24071098,Other Larceny,4/14/2024 3:37,Industrial Site,"14xx Fort Worth Dr, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24071804,Other Larceny,4/14/2024 0:00,Parking/drop Lot/garage,"52xx Par Dr, Denton, Tx 76208",Denton Police Department (Tx)
Theft,24072011,Other Larceny,4/13/2024 23:00,Residence/home,"23xx Denison St, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24070739,Other Larceny,4/13/2024 15:51,Grocery/supermarket,"5xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24070727,Other Larceny,4/13/2024 15:37,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24070789,Other Larceny,4/13/2024 15:30,Department/discount Store,"26xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24070732,Other Larceny,4/13/2024 15:15,Commercial/office Building,"19xx Brinker Rd, Denton, Tx 76208",Denton Police Department (Tx)
Theft,24070660,Other Larceny,4/13/2024 13:00,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24070438,Other Larceny,4/13/2024 1:00,Parking/drop Lot/garage,"4485xx 35, Denton, Tx 76207",Denton Police Department (Tx)
Theft,24072452,Other Larceny,4/12/2024 17:00,Const Site,"36xx Quail Creek Rd, Denton, Tx 76208",Denton Police Department (Tx)
Theft,24070002,Other Larceny,4/12/2024 15:51,Residence/home,"12xx Piping Rock Ln, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24069930,Other Larceny,4/12/2024 12:00,Conv Store,"7xx Londonderry Ln, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24069973,Other Larceny,4/11/2024 20:20,Commercial/office Building,"10xx Mayhill Rd, Denton, Tx 76208",Denton Police Department (Tx)
Theft,24072763,Other Larceny,4/11/2024 17:00,Grocery/supermarket,"11xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24069257,Other Larceny,4/11/2024 16:00,Grocery/supermarket,"5xx Acme St, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24069188,Other Larceny,4/11/2024 15:20,Residence/home,"6xx Austin St, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24068669,Other Larceny,4/10/2024 20:10,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24068405,Other Larceny,4/10/2024 11:08,Department/discount Store,"5xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24068310,Other Larceny,4/10/2024 8:27,Grocery/supermarket,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24068293,Other Larceny,4/10/2024 7:18,Specialty Store,"3601xx 35, Denton, Tx 76207",Denton Police Department (Tx)
Theft,24069198,Other Larceny,4/10/2024 0:00,Residence/home,"33xx Hummingbird Ln, Denton, Tx 76209",Denton Police Department (Tx)
Theft,24067081,Other Larceny,4/8/2024 14:29,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24069327,Other Larceny,4/8/2024 0:00,Const Site,"17xx Village Creek Ln, Denton, Tx 76208",Denton Police Department (Tx)
Theft,24068154,Other Larceny,4/7/2024 21:54,Grocery/supermarket,"26xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24066494,Other Larceny,4/7/2024 18:04,Department/discount Store,"26xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24069288,Other Larceny,4/7/2024 14:54,Residence/home,"3200xx 35, Denton, Tx 76210",Denton Police Department (Tx)
Theft,24066445,Other Larceny,4/7/2024 14:00,Parking/drop Lot/garage,"2201xx 35, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24066351,Other Larceny,4/7/2024 11:55,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24066352,Other Larceny,4/7/2024 11:00,Residence/home,"19xx Colorado Blvd, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24068140,Theft Of Veh Parts,4/7/2024 7:40,Residence/home,"7xx Driftwood Trl, Denton, Tx 76209",Denton Police Department (Tx)
Theft,24065751,Other Larceny,4/6/2024 11:00,Grocery/supermarket,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24065178,Other Larceny,4/5/2024 15:00,Grocery/supermarket,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24064997,Other Larceny,4/5/2024 0:00,Other/unknown,"17xx Fort Worth Dr, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24064603,Other Larceny,4/4/2024 19:40,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24067204,Other Larceny,4/4/2024 13:35,Residence/home,"3xx Campbell Ln, Denton, Tx 76209",Denton Police Department (Tx)
Theft,24063837,Other Larceny,4/3/2024 19:51,Service/gas Station,"7xx Fort Worth Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24064174,Other Larceny,4/3/2024 18:00,Residence/home,"24xx Stockbridge Rd, Denton, Tx 76208",Denton Police Department (Tx)
Theft,24063739,Other Larceny,4/3/2024 17:05,Specialty Store,"18xx Fort Worth Dr, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24064216,Other Larceny,4/3/2024 15:23,Parking/drop Lot/garage,"16xx Mckinney St, Denton, Tx 76209",Denton Police Department (Tx)
Theft,24069311,Other Larceny,4/3/2024 6:00,Const Site,"17xx Village Creek Ln, Denton, Tx 76208",Denton Police Department (Tx)
Theft,24062967,Other Larceny,4/2/2024 16:51,Shelter-mission/homeless,"9xx Loop, Denton, Tx 76209",Denton Police Department (Tx)
Theft,24063058,Other Larceny,4/2/2024 16:00,Residence/home,"3xx Mckinney St, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24062875,Other Larceny,4/2/2024 14:35,Grocery/supermarket,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24062971,Other Larceny,4/2/2024 14:30,Residence/home,"25xx Stockbridge Rd, Denton, Tx 76208",Denton Police Department (Tx)
Theft,24063376,Other Larceny,4/2/2024 0:00,Residence/home,"12xx Hickory St, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24068145,Other Larceny,4/1/2024 23:59,Residence/home,"4xx Marietta St, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24062330,Other Larceny,4/1/2024 18:15,Specialty Store,"11xx Dallas Dr, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24061749,Other Larceny,3/31/2024 23:24,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24061631,Other Larceny,3/31/2024 19:18,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24061618,Other Larceny,3/31/2024 18:00,Specialty Store,"11xx Fort Worth Dr, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24061584,Other Larceny,3/31/2024 17:07,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24061577,Other Larceny,3/31/2024 16:43,Other/unknown,"10xx Imperial Dr, Denton, Tx 76209",Denton Police Department (Tx)
Theft,24062992,Other Larceny,3/31/2024 12:00,Residence/home,"50xx Par Dr, Denton, Tx 76208",Denton Police Department (Tx)
Theft,24061020,Other Larceny,3/30/2024 19:35,Specialty Store,"2201xx 35, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24061014,Other Larceny,3/30/2024 19:00,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24060987,Other Larceny,3/30/2024 18:26,Department/discount Store,"18xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24060954,Other Larceny,3/30/2024 17:00,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24060911,Other Larceny,3/30/2024 15:42,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24060873,Other Larceny,3/30/2024 14:15,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24060867,Other Larceny,3/30/2024 14:00,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24062374,Other Larceny,3/30/2024 12:00,Residence/home,"16xx Mckinney St, Denton, Tx 76209",Denton Police Department (Tx)
Theft,24062296,Other Larceny,3/29/2024 22:15,Parking/drop Lot/garage,"6xx Loop, Denton, Tx 76209",Denton Police Department (Tx)
Theft,24060810,Other Larceny,3/29/2024 21:30,Parking/drop Lot/garage,"6xx Audra Ln, Denton, Tx 76209",Denton Police Department (Tx)
Theft,24060803,Other Larceny,3/29/2024 20:00,Parking/drop Lot/garage,"50xx Par Dr, Denton, Tx 76208",Denton Police Department (Tx)
Theft,24062969,Other Larceny,3/29/2024 18:00,Parking/drop Lot/garage,"2406xx 35, Denton, Tx 76210",Denton Police Department (Tx)
Theft,24062276,Theft Of Veh Parts,3/29/2024 16:30,Parking/drop Lot/garage,"52xx Par Dr, Denton, Tx 76208",Denton Police Department (Tx)
Theft,24062844,Other Larceny,3/29/2024 15:00,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24060523,Other Larceny,3/29/2024 8:00,Residence/home,"30xx Locust St, Denton, Tx 76207",Denton Police Department (Tx)
Theft,24059534,Other Larceny,3/28/2024 15:33,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24059262,Other Larceny,3/28/2024 8:30,Grocery/supermarket,"36xx Mckinney St, Denton, Tx 76209",Denton Police Department (Tx)
Theft,24058801,Other Larceny,3/27/2024 15:17,Specialty Store,"29xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24058746,Other Larceny,3/27/2024 13:45,Department/discount Store,"26xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24059561,Other Larceny,3/27/2024 12:40,Specialty Store,"3801xx 35, Denton, Tx 76207",Denton Police Department (Tx)
Theft,24058275,Other Larceny,3/26/2024 20:41,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24058334,Other Larceny,3/26/2024 20:00,Highway/road/alley/street/sidewalk,"5xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24058229,Other Larceny,3/26/2024 18:39,Conv Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24058200,Other Larceny,3/26/2024 17:24,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24058109,Other Larceny,3/26/2024 15:23,Grocery/supermarket,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24057693,Other Larceny,3/26/2024 1:40,Residence/home,"13xx Dallas Dr, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24058349,Other Larceny,3/25/2024 20:00,Residence/home,"1xx Crawford St, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24059420,Other Larceny,3/25/2024 20:00,Residence/home,"28xx Paisley St, Denton, Tx 76209",Denton Police Department (Tx)
Theft,24057448,Other Larceny,3/25/2024 17:10,Conv Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24057435,Other Larceny,3/25/2024 17:02,Conv Store,"32xx Teasley Ln, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24057286,Other Larceny,3/24/2024 23:30,Residence/home,"15xx Meadow St, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24060938,Other Larceny,3/24/2024 21:00,Parking/drop Lot/garage,"2800xx 35, Denton, Tx 76210",Denton Police Department (Tx)
Theft,24056758,Other Larceny,3/24/2024 17:58,,"2201xx 35, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24056754,Other Larceny,3/24/2024 17:54,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24056677,Other Larceny,3/24/2024 14:28,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24056291,Other Larceny,3/23/2024 22:00,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24056155,Other Larceny,3/23/2024 17:51,Grocery/supermarket,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24056077,Other Larceny,3/23/2024 15:02,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24056531,Other Larceny,3/23/2024 10:00,Parking/drop Lot/garage,"25xx Bell Ave, Denton, Tx 76209",Denton Police Department (Tx)
Theft,24055579,Other Larceny,3/22/2024 18:50,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24055577,Other Larceny,03/22/2024 06:32 PM,Department/discount Store,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24055570,Other Larceny,03/22/2024 06:21 PM,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24055500,Other Larceny,03/22/2024 04:12 PM,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24055482,Other Larceny,03/22/2024 03:47 PM,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24055445,Other Larceny,03/22/2024 02:40 PM,Department/discount Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24055382,Other Larceny,03/22/2024 01:03 PM,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24055403,Other Larceny,03/22/2024 01:00 PM,Residence/home,"34xx Nottingham Dr, Denton, Tx 76209",Denton Police Department (Tx)
Theft,24057174,Other Larceny,03/21/2024 11:00 PM,Residence/home,"9xx Fannin St, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24055352,Other Larceny,03/21/2024 07:30 PM,Specialty Store,"260xx 35, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24054907,Other Larceny,03/21/2024 06:47 PM,Conv Store,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Theft,24054850,Other Larceny,03/21/2024 05:01 PM,Residence/home,"15xx Knight St, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24054672,Other Larceny,03/21/2024 11:41 AM,Grocery/supermarket,"15xx Loop, Denton, Tx 76205",Denton Police Department (Tx)
Theft,24054536,Other Larceny,03/21/2024 08:30 AM,Grocery/supermarket,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
