Class,Incident#,Crime,Date/Time,Location Name,Address,Agency
Burglary from Motor Vehicle,24045814,Theft From Veh,03/08/2024 07:58 AM,Parking/drop Lot/garage,"15xx Meadow St, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24045848,Theft From Veh,03/08/2024 02:30 AM,Parking/drop Lot/garage,"15xx Meadow St, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24045786,Theft From Veh,03/08/2024 12:30 AM,Residence/home,"9xx Locust St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24045830,Theft From Veh,03/08/2024 12:00 AM,Parking/drop Lot/garage,"15xx Northstar Rd, Denton, Tx 76208",Denton Police Department (Tx)
Burglary from Motor Vehicle,24054898,Theft From Veh,03/07/2024 10:15 PM,Residence/home,"15xx Meadow St, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24045906,Theft From Veh,03/07/2024 09:00 PM,Residence/home,"24xx College Park Dr, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24045802,Theft From Veh,03/07/2024 03:30 PM,Residence/home,"32xx Locust St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24045960,Theft From Veh,03/07/2024 03:00 PM,Residence/home,"22xx Fowler Dr, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24045939,Theft From Veh,03/07/2024 07:00 AM,Parking/drop Lot/garage,"15xx Meadow St, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24045298,Theft From Veh,03/07/2024 02:00 AM,Hotel/motel/etc.,"3180xx 35, Denton, Tx 76210",Denton Police Department (Tx)
Burglary from Motor Vehicle,24045028,Theft From Veh,03/06/2024 10:00 PM,Parking/drop Lot/garage,"5xx Inman St, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24044620,Theft From Veh,03/06/2024 12:14 PM,Parking/drop Lot/garage,"27xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24044833,Theft From Veh,03/06/2024 12:00 PM,Parking/drop Lot/garage,"17xx Teasley Ln, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24045259,Theft From Veh,03/06/2024 11:00 AM,Highway/road/alley/street/sidewalk,"Stella St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24046481,Theft From Veh,03/05/2024 11:00 AM,Highway/road/alley/street/sidewalk,"28xx Paisley St, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24043719,Theft From Veh,03/04/2024 11:00 PM,Highway/road/alley/street/sidewalk,"2xx Samuel St, Denton, Tx 76207",Denton Police Department (Tx)
Burglary from Motor Vehicle,24042450,Theft From Veh,03/02/2024 10:00 PM,Parking/drop Lot/garage,"15xx Meadow St, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24043285,Theft From Veh,03/02/2024 09:15 PM,Parking/drop Lot/garage,"9xx Londonderry Ln, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24042352,Theft From Veh,03/02/2024 08:30 PM,Residence/home,"20xx Woodbrook St, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24054915,Theft From Veh,03/02/2024 02:00 PM,Residence/home,"19xx Camden Ct, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24054141,Theft From Veh,03/01/2024 03:39 AM,Rental Storage Facility,"5xx Fort Worth Dr, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24054666,Theft From Veh,02/29/2024 12:00 AM,Residence/home,"10xx Dallas Dr, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24038455,Theft From Veh,02/26/2024 09:30 PM,Parking/drop Lot/garage,"Hudsonwood Dr, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24039032,Theft From Veh,02/26/2024 12:20 PM,Residence/home,"5xx Inman St, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24038041,Theft From Veh,02/26/2024 01:30 AM,Parking/drop Lot/garage,"2500xx 35, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24037651,Theft From Veh,02/25/2024 10:00 PM,Parking/drop Lot/garage,"2500xx 35, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24044009,Theft From Veh,02/25/2024 05:00 PM,Residence/home,"29xx Brook Hollow Dr, Denton, Tx",Denton Police Department (Tx)
